RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd
228.99066,30.39921,1649,208,53149,-22.75,45.101,0.007,42.4,0.02,2204.1,101.5,86.7,5.4,16.39,7.66,0.04,-0.66
229.00163,57.40437,612,519,52079,-22.83,45.237,0.004,41.87,0.05,4444.0,1110.2,19.7,2.5,20.48,8.34,0.22,-1.2
229.20442,49.50253,1330,568,52822,-22.81,45.107,0.004,41.96,0.04,4384.4,615.5,33.4,3.3,17.3,8.26,0.12,-1.26
229.36864,28.93783,1845,39,54144,-22.58,45.088,0.003,42.23,0.03,2519.4,643.6,62.7,4.1,20.87,7.77,0.22,-0.79
229.4323,7.02268,1817,35,53851,-23.2,45.329,0.002,42.34,0.02,1504.0,119.8,44.9,1.3,25.2,7.45,0.07,-0.22
229.78055,52.10167,1165,629,52703,-22.29,44.951,0.001,40.68,0.44,3852.2,1528.1,2.5,1.5,18.86,8.07,0.34,-1.22
229.84021,59.13999,613,99,52345,-22.55,44.931,0.001,42.24,0.01,2667.8,261.5,91.1,2.9,48.73,7.74,0.09,-0.91
229.85664,44.13216,1051,265,52468,-22.85,45.183,0.004,42.41,0.02,1521.7,43.8,73.7,3.7,19.87,7.38,0.03,-0.3
229.9006,28.64101,1846,426,54173,-24.14,45.696,0.001,42.62,0.01,1744.9,76.6,36.5,0.72,34.91,7.76,0.04,-0.16
230.0343,46.27093,1050,584,52721,-22.27,44.932,0.004,42.08,0.03,6397.0,504.7,63.3,4.1,19.25,8.5,0.07,-1.67
230.3094,22.46219,2158,114,54209,-23.56,45.37,0.002,42.73,0.01,2478.5,189.4,101.3,2.4,48.74,7.9,0.07,-0.63
230.37639,27.73891,1846,125,54173,-22.76,45.082,0.007,42.34,0.02,2200.8,291.0,78.2,4.1,18.61,7.65,0.11,-0.67
230.40128,24.4816,2160,243,53885,-23.2,45.341,0.011,42.52,0.05,2578.1,84.2,64.9,10.0,33.48,7.92,0.03,-0.68
230.41528,3.6248,592,376,52025,-22.94,45.19,0.001,42.55,0.02,5315.2,884.2,101.8,3.6,47.29,8.47,0.14,-1.38
230.47418,59.67225,613,152,52345,-23.64,45.472,0.002,42.78,0.02,3717.6,769.1,87.2,3.7,33.17,8.3,0.18,-0.93
230.5157,0.1912,312,639,51689,-22.8,45.23,0.004,42.23,0.02,3932.1,194.5,44.8,2.5,15.51,8.23,0.04,-1.1
230.52112,1.44072,2953,240,54560,-22.82,45.218,0.004,41.37,0.14,7059.2,1601.1,6.7,2.1,35.7,8.73,0.2,-1.62
230.82791,30.80721,1651,373,53442,-22.99,45.213,0.005,42.13,0.06,3458.8,832.5,36.4,6.1,22.64,8.11,0.21,-1.0
231.0804,27.95578,1846,28,54173,-23.33,45.423,0.005,42.56,0.02,9345.2,348.3,60.6,3.4,24.76,9.08,0.03,-1.76
231.09229,26.70657,2160,444,53885,-22.72,44.989,0.005,42.19,0.04,4363.7,503.4,73.2,6.8,17.34,8.2,0.1,-1.31
231.11946,30.54376,1650,545,53174,-24.56,45.891,0.001,43.14,0.01,2572.5,106.9,76.1,1.9,40.15,8.19,0.04,-0.4
231.12225,35.25613,1354,466,52814,-22.6,45.143,0.005,41.8,0.05,1559.7,243.2,21.0,2.7,15.44,7.38,0.14,-0.34
231.14195,49.18947,1166,202,52751,-22.43,44.861,0.004,42.02,0.02,6731.1,181.5,69.1,4.4,21.01,8.51,0.02,-1.75
