,plate,mjd,fiberid,z,subclass,e_bv_sfd,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,neiii_3869_flux,oii_3726_flux,oii_3729_flux,h_alpha_eqw,nii_6584_eqw,psfMag_g,psfMag_z
20251,910,52377,191,0.08486716,b'STARBURST',0.03713623,490.843,146.2304,203.0575,101.7589,18.65817,88.71403,58.36642,23.61081,151.4478,230.595,-52.13053,-11.25253,18.97913,18.37208
20252,915,52443,60,0.06535163,b'STARBURST',0.07742096,1369.869,440.3437,1110.28,168.794,27.66373,165.5254,122.3597,70.89748,542.8246,622.6079,-159.0952,-19.6159,18.72851,18.4761
20253,915,52443,136,0.06514755,b'STARBURST',0.0666191,546.5612,167.0878,443.3662,57.81563,17.49244,80.5105,56.28622,31.91625,183.4719,266.5918,-55.56705,-5.819441,19.01554,18.61489
20254,914,52721,8,0.02642439,b'',0.05584508,143.3306,33.92151,174.3878,95.29427,24.87665,78.86102,62.21372,31.37494,83.66894,99.76249,-3.532307,-2.309676,18.02094,16.42685
20255,914,52721,56,0.1486645,b'AGN',0.04982073,196.146,58.28078,273.6213,175.8786,16.23404,77.18327,37.46246,25.25448,45.48268,46.34085,-16.03751,-16.53024,19.76126,17.95073
20256,914,52721,52,0.02600071,b'STARBURST',0.05187239,4633.117,1295.663,1158.617,1031.615,81.17163,658.7404,472.4108,57.91806,1254.122,1368.484,-157.0298,-35.00333,17.52165,17.06577
20257,912,52427,298,0.1296545,b'STARBURST',0.03529469,820.4674,287.8066,646.6802,99.21089,19.92717,99.1822,61.84779,42.80513,403.752,432.153,-163.8712,-20.42992,19.37186,19.00676
20258,913,52433,406,0.02524433,b'STARBURST',0.03541171,307.3412,94.32169,392.1719,10.58766,7.737929,27.18969,18.68891,21.66622,104.3827,120.1065,-51.62391,-2.310538,19.56407,19.29412
20259,913,52433,407,0.1779683,b'STARBURST BROADLINE',0.03471726,486.4167,102.1598,487.5313,454.6476,36.17575,54.94969,96.25014,42.15165,69.40791,119.4421,-17.61652,-14.61475,18.88243,17.63011
20260,891,52584,5,0.04523025,b'STARBURST',0.05239124,920.3776,267.4193,557.6183,140.4567,21.67659,134.2745,100.9399,35.86205,399.3903,390.239,-105.1328,-14.61954,18.94132,18.7192
20261,901,52641,568,0.2066058,b'AGN',0.01106112,123.7903,30.60831,121.5747,118.1203,34.0482,33.81593,34.73101,19.55071,53.61884,46.7132,-13.3348,-12.80781,20.19673,18.2303
20262,891,52584,109,0.05542916,b'STARBURST',0.04923791,708.556,181.8998,435.6171,70.34653,27.78898,120.0664,82.81923,35.14973,291.7142,333.3393,-85.84446,-8.712988,19.40921,19.05747
20263,891,52584,157,0.07060415,b'STARBURST',0.05561812,1281.125,313.1895,464.5848,319.1016,39.5034,204.0751,156.6503,38.15942,346.1357,375.8192,-97.71333,-24.14705,18.7095,18.01475
20264,891,52584,277,0.07073829,b'STARBURST',0.05328417,836.8842,239.9368,253.0341,218.1977,30.34506,158.6975,106.7102,24.02579,336.2847,350.2198,-41.36459,-10.83573,18.64873,17.81376
20265,902,52409,363,0.06655894,b'STARBURST',0.01123047,1785.721,414.0768,376.5019,460.102,73.95754,319.8344,230.2099,29.06943,565.2342,492.2278,-60.49744,-15.63487,18.00607,17.01349
20266,902,52409,537,0.03496408,b'STARBURST',0.01044627,337.9536,111.8542,263.0425,39.63069,9.293959,55.10852,39.51052,19.63542,184.7748,186.2515,-41.1937,-5.214724,19.12775,18.70973
20267,903,52400,524,0.04385167,b'STARBURST',0.006830608,355.5755,120.9262,247.9943,45.02228,15.73096,69.24992,49.41548,18.79376,191.9459,209.1202,-42.3093,-4.89641,18.97263,18.67231
20268,904,52381,430,0.04092498,b'STARFORMING',0.01103571,928.6165,211.7105,179.1771,488.7159,34.70032,179.7577,149.0281,26.91297,127.7535,125.9883,-37.22156,-19.6061,17.99647,16.90138
