,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
18565,533,51994,145,b'GALAXY',b'STARFORMING',0.05591078,347.7758,67.83533,17.16612,117.7454,9.574993,56.46972,40.96247,-25.49471,-8.72569
18566,533,51994,294,b'GALAXY',b'STARFORMING',0.05463681,588.5857,145.401,19.84132,207.464,13.24076,73.79917,55.88109,-30.45036,-10.7395
18567,535,51999,5,b'GALAXY',b'STARFORMING',0.05568361,437.503,108.4259,16.6043,134.0165,11.52286,65.3476,46.45179,-23.02897,-6.969628
18568,535,51999,502,b'GALAXY',b'STARFORMING',0.09639184,412.94,101.8064,25.50848,175.2677,14.02761,71.04242,57.28166,-26.29882,-11.15881
18569,536,52024,342,b'GALAXY',b'STARBURST',0.02889106,640.6218,199.3925,475.5714,58.35948,19.01666,104.9579,70.88643,-90.14861,-7.793805
18570,541,51959,375,b'GALAXY',b'STARBURST',0.1935023,579.8925,110.9277,35.09572,252.916,17.25897,82.41555,63.02177,-54.72816,-23.66033
18571,542,51993,109,b'GALAXY',b'STARBURST',0.06208589,982.1284,226.4558,136.7633,280.6331,27.05654,183.0327,131.5792,-77.51647,-21.91342
18572,542,51993,246,b'GALAXY',b'STARFORMING',0.04902804,88.16951,27.43825,17.82011,26.71596,4.111114,25.08716,17.34405,-16.17811,-4.829224
18573,542,51993,380,b'GALAXY',b'STARBURST',0.05775876,473.0193,125.9202,132.0653,90.55084,14.76027,96.94966,67.92485,-49.32615,-9.554908
18574,542,51993,621,b'GALAXY',b'STARFORMING',0.1366186,332.0924,63.70272,19.63492,128.0596,8.898663,38.32407,27.50044,-22.32699,-8.592156
18575,543,52017,342,b'GALAXY',b'AGN',0.1175297,154.0269,39.32233,47.6904,135.2049,34.55886,82.60561,55.55643,-5.262636,-4.656186
18576,545,52202,133,b'GALAXY',b'STARBURST',0.09524834,517.7127,127.7968,34.2604,187.3904,11.93761,97.04724,67.60696,-66.19662,-24.0047
18577,545,52202,205,b'GALAXY',b'STARFORMING',0.1002075,317.8534,42.30716,17.629,139.9356,14.12436,57.68321,44.28788,-27.28107,-11.4684
18578,545,52202,315,b'GALAXY',b'STARBURST',0.07432907,497.9296,122.2875,63.48198,140.2974,10.24969,98.94257,76.40396,-61.08454,-17.29907
18579,546,52205,608,b'GALAXY',b'AGN',0.07865527,388.5115,111.6392,1175.199,269.818,115.8554,114.702,113.1824,-19.48824,-12.89085
18580,548,51986,607,b'GALAXY',b'STARFORMING',0.0462562,126.3497,29.92068,8.075477,53.06839,6.72458,25.2267,15.34018,-9.044008,-3.901397
18581,549,51981,54,b'GALAXY',b'STARFORMING',0.08008102,454.943,109.3716,27.0658,181.8198,9.805113,77.52979,58.71142,-27.11846,-10.62022
18582,549,51981,147,b'GALAXY',b'STARBURST',0.06827312,774.2582,190.4579,70.17824,396.5984,20.24109,114.0393,93.44402,-40.09647,-20.51275
18583,549,51981,196,b'GALAXY',b'STARFORMING',0.05346705,191.1561,59.96881,49.49948,45.44745,8.205303,42.08704,28.36254,-34.41846,-7.966778
18584,550,51959,55,b'GALAXY',b'STARBURST',0.05232649,1742.236,509.2086,426.2329,600.7257,17.14296,154.5565,145.3532,-142.71,-47.93587
18585,550,51959,181,b'GALAXY',b'AGN',0.1777685,88.39063,24.34456,232.2649,71.01443,6.850996,12.11445,20.01203,-17.72801,-15.03665
